Field,Label,Value
id,Dataset ID,38f46aa9-00dd-4ac9-98c9-5ecaea384c9f
title,Title of Dataset,Kontur Population: Global Population Density for 400m H3 Hexagons
name,Dataset URL,kontur-population-dataset
notes,Description,"Global Population dataset. Vector H3 hexagons with population counts at 400m resolution. <ul> <li>Per-country subsets of Kontur Population can be found here: <a href=""https://data.humdata.org/organization/kontur"">data.humdata.org/organization/kontur</a>  </li> <li>3km resolution version: <a href=""https://data.humdata.org/dataset/kontur-population-dataset-3km"">data.humdata.org/dataset/kontur-population-dataset-3km</a></li> <li>22km resolution version: <a href=""https://data.humdata.org/dataset/kontur-population-dataset-22km"">data.humdata.org/dataset/kontur-population-dataset-22km</a></li> </ul>  Fixed up fusion of GHSL, Facebook, Microsoft Buildings, Copernicus Global Land Service Land Cover, Land Information New Zealand, and OpenStreetMap data."
dataset_source,Source,Kontur
organization,Contributor,Kontur
dataset_date,Reference Period,[2020-03-11T00:00:00 TO 2023-11-01T23:59:59]
last_modified,Updated,2023-10-31T17:26:03.680913
data_update_frequency,Expected Update Frequency,As needed
groups,Location,World
license_title,License,Creative Commons Attribution International (CC BY)
methodology,Methodology,Other
methodology_other,Define Methodology," Kontur Population dataset was built based on [H3: Hexagonal Hierarchical Spatial Index](https://h3geo.org).

Calculating population is based on overlapping Global Human Settlement Layer ([GHSL](https://ghsl.jrc.ec.europa.eu)) with Facebook High Resolution Settlement Layer ([HRSL](https://research.facebook.com/downloads/high-resolution-settlement-layer-hrsl)) population data where available.

Known artifacts of both datasets are constrained using OpenStreetMap data as a hint. Quarries and big roads are marked unpopulated, as they are often falsely detected as populated in GHSL. Lakes, rivers, glaciers, sands, forests, and other similar areas are also marked as unpopulated.

We use Microsoft Building Footprint data, Land Information New Zealand and Copernicus Global Land Service: Land Cover 100m to improve the accuracy of population distribution.

Building presence, or otherwise built-up area, implies there’s someone on the ground, which is often missed in HRSL data for Africa.

We use scale coefficient taking into account the nesting of levels of administrative division in cases when the total population of the administrative area significantly differs from the United Nations population estimates and projections.

Overly hot pixels like 'half a million people in a quarter of square kilometer' are spread out to more realistic surroundings. The population is shifted to neighboring cells to satisfy constraints.

Non-integer populations are fixed up by 'gluing people back together' to keep realistic human beings."
